a-value,Area
-10,0.199986668
-9.9,0.202006183
-9.8,0.204066884
-9.7,0.206170042
-9.6,0.208316983
-9.5,0.210509086
-9.4,0.212747792
-9.3,0.2150346
-9.2,0.217371077
-9.1,0.219758856
-9,0.222199645
-8.9,0.224695227
-8.8,0.227247466
-8.7,0.229858311
-8.6,0.232529801
-8.5,0.235264073
-8.4,0.238063362
-8.3,0.240930013
-8.2,0.243866482
-8.1,0.246875349
-8,0.249959319
-7.9,0.253121236
-7.8,0.256364086
-7.7,0.259691013
-7.6,0.263105323
-7.5,0.266610496
-7.4,0.270210201
-7.3,0.273908306
-7.2,0.277708892
-7.1,0.281616267
-7,0.285634983
-6.9,0.289769857
-6.8,0.29402598
-6.7,0.29840875
-6.6,0.302923886
-6.5,0.307577452
-6.4,0.31237589
-6.3,0.317326045
-6.2,0.322435194
-6.1,0.327711089
-6,0.333161985
-5.9,0.338796689
-5.8,0.344624606
-5.7,0.350655784
-5.6,0.356900976
-5.5,0.363371697
-5.4,0.370080295
-5.3,0.377040024
-5.2,0.384265127
-5.1,0.391770931
-5,0.399573947
-4.9,0.407691983
-4.8,0.416144274
-4.7,0.424951619
-4.6,0.434136542
-4.5,0.443723463
-4.4,0.4537389
-4.3,0.464211683
-4.2,0.475173202
-4.1,0.486657679
-4,0.498702477
-3.9,0.511348438
-3.8,0.524640265
-3.7,0.538626945
-3.6,0.553362215
-3.5,0.568905076
-3.4,0.58532035
-3.3,0.60267928
-3.2,0.621060156
-3.1,0.640548956
-3,0.661239956
-2.9,0.683236262
-2.8,0.706650154
-2.7,0.731603107
-2.6,0.758225229
-2.5,0.786653756
-2.4,0.817030001
-2.3,0.849493847
-2.2,0.884174365
-2.1,0.921174367
-2,0.960545562
-1.9,1.00224929
-1.8,1.046095514
-1.7,1.091649823
-1.6,1.138095511
-1.5,1.184037525
-1.4,1.227243307
-1.3,1.264344486
-1.2,1.290592381
-1.1,1.299882644
-1,1.285398163
-0.9,1.241179558
-0.8,1.164410118
-0.7,1.057217069
-0.6,0.926362578
-0.5,0.780555891
-0.4,0.627258922
-0.3,0.471094503
-0.2,0.314150748
-0.1,0.157079566
0,0
0.1,-0.157079566
0.2,-0.314150748
0.3,-0.471094503
0.4,-0.627258922
0.5,-0.780555891
0.6,-0.926362578
0.7,-1.057217069
0.8,-1.164410118
0.9,-1.241179558
1,-1.285398163
1.1,-1.299882644
1.2,-1.290592381
1.3,-1.264344486
1.4,-1.227243307
1.5,-1.184037525
1.6,-1.138095511
1.7,-1.091649823
1.8,-1.046095514
1.9,-1.00224929
2,-0.960545562
2.1,-0.921174367
2.2,-0.884174365
2.3,-0.849493847
2.4,-0.817030001
2.5,-0.786653756
2.6,-0.758225229
2.7,-0.731603107
2.8,-0.706650154
2.9,-0.683236262
3,-0.661239956
3.1,-0.640548956
3.2,-0.621060156
3.3,-0.60267928
3.4,-0.58532035
3.5,-0.568905076
3.6,-0.553362215
3.7,-0.538626945
3.8,-0.524640265
3.9,-0.511348438
4,-0.498702477
4.1,-0.486657679
4.2,-0.475173202
4.3,-0.464211683
4.4,-0.4537389
4.5,-0.443723463
4.6,-0.434136542
4.7,-0.424951619
4.8,-0.416144274
4.9,-0.407691983
5,-0.399573947
5.1,-0.391770931
5.2,-0.384265127
5.3,-0.377040024
5.4,-0.370080295
5.5,-0.363371697
5.6,-0.356900976
5.7,-0.350655784
5.8,-0.344624606
5.9,-0.338796689
6,-0.333161985
6.1,-0.327711089
6.2,-0.322435194
6.3,-0.317326045
6.4,-0.31237589
6.5,-0.307577452
6.6,-0.302923886
6.7,-0.29840875
6.8,-0.29402598
6.9,-0.289769857
7,-0.285634983
7.1,-0.281616267
7.2,-0.277708892
7.3,-0.273908306
7.4,-0.270210201
7.5,-0.266610496
7.6,-0.263105323
7.7,-0.259691013
7.8,-0.256364086
7.9,-0.253121236
8,-0.249959319
8.1,-0.246875349
8.2,-0.243866482
8.3,-0.240930013
8.4,-0.238063362
8.5,-0.235264073
8.6,-0.232529801
8.7,-0.229858311
8.8,-0.227247466
8.9,-0.224695227
9,-0.222199645
9.1,-0.219758856
9.2,-0.217371077
9.3,-0.2150346
9.4,-0.212747792
9.5,-0.210509086
9.6,-0.208316983
9.7,-0.206170042
9.8,-0.204066884
9.9,-0.202006183
10,-0.199986668
